time,n_sat,x,y,z,dt_u,rms
2026-04-26T13:15:00,10,3512896.7282067453,2069026.4728032304,4888963.361223232,1.0083129718793605e-07,49.763922453277615
2026-04-26T13:15:30,10,3512896.2504179324,2069026.9986539865,4888964.864021906,1.024546950259883e-07,49.89812970809023
2026-04-26T13:16:00,10,3512895.5690881386,2069027.7053721163,4888965.620790492,1.0356590421936539e-07,50.05877584182812
2026-04-26T13:16:30,10,3512895.0072183553,2069028.0732502325,4888966.85359617,1.045803966905509e-07,50.12787156283012
2026-04-26T13:17:00,10,3512894.920225851,2069028.0805220916,4888968.111562905,1.0668757403179341e-07,50.312870019640464
2026-04-26T13:17:30,10,3512894.4615674033,2069028.3249696742,4888967.97124927,1.0504091168307871e-07,50.55948145209285
2026-04-26T13:18:00,10,3512894.2555848546,2069028.9677958856,4888969.892659273,1.0753310140476639e-07,50.6201330880946
2026-04-26T13:18:30,10,3512893.0802072994,2069029.1078263246,4888969.614287094,1.0584143749859715e-07,50.85965629455303
2026-04-26T13:19:00,10,3512893.5190887246,2069029.5962656308,4888972.206887318,1.1111400584417354e-07,51.17017696002509
2026-04-26T13:19:30,10,3512892.8186396067,2069029.018393419,4888971.920638917,1.0868836051597597e-07,51.186650132653924
2026-04-26T13:20:00,10,3512892.715115903,2069030.0385713808,4888973.234417422,1.1120242255108591e-07,51.16028854881412
2026-04-26T13:20:30,10,3512891.737193874,2069030.4403919794,4888974.105087141,1.113602267263759e-07,51.456211423483204
2026-04-26T13:21:00,10,3512891.459719294,2069030.5012296655,4888974.713601764,1.1194458956428852e-07,51.40462417994275
2026-04-26T13:21:30,10,3512891.4426676156,2069030.9189312207,4888975.610788054,1.1401609504075815e-07,51.76121613754996
2026-04-26T13:22:00,10,3512891.248163905,2069031.9150166798,4888977.825668996,1.163964788624722e-07,51.813135988775265
2026-04-26T13:22:30,10,3512890.3267725515,2069031.6425063196,4888977.064641302,1.1524392981154692e-07,52.029610860862824
2026-04-26T13:23:00,10,3512890.344312349,2069032.322012102,4888978.766302062,1.1796009921886783e-07,52.009524098249884
2026-04-26T13:23:30,10,3512889.7624534066,2069032.3003607693,4888979.171036342,1.1733729173215296e-07,51.93155780445287
