t,prn,x,y,z,vx,vy,vz,clock
127800.0,31,18134460.79683493,-1356746.5167863788,-19743369.007197026,-1326.8883780413885,2048.4597644836113,-1349.5118037706247,-0.00015278082616551063
128400.0,31,17343976.201557636,-90449.54109869897,-20478859.056627642,-1305.0140151250243,2170.4475270552725,-1100.5845486820836,-0.0001527773020082662
129000.0,31,16571825.71605122,1244756.2238007514,-21062396.34929364,-1266.0616069716007,2277.810203217362,-843.3072143253781,-0.0001527738260243509
129600.0,31,15827784.076915838,2639472.441990762,-21489521.3822084,-1211.6485575177142,2368.5017308005254,-579.5183181435248,-0.00015277041343109767
130200.0,31,15120579.484163243,4083141.135543979,-21756893.24583665,-1143.639975719595,2440.7069774557112,-311.1075379484641,-0.00015276707901797087
130800.0,31,14457754.115321176,5564192.478527443,-21862317.02615718,-1064.1177745787825,2492.872246557774,-40.005009448318624,-0.0001527638370443597
131400.0,31,13845544.2658177,7070209.767750793,-21804764.691633012,-975.3462376450699,2523.7320268179687,231.82980243743648,-0.0001527607011394949
132000.0,31,13288782.097353728,8588109.192853414,-21584389.209334478,-879.7345032791663,2532.3315566571864,502.4196740783398,-0.00015275768420498398
132600.0,31,12790820.691461181,10104331.78468974,-21202531.624775823,-779.7964669692129,2518.0448160821675,769.7816440931683,-0.00015275479832049712
133200.0,31,12353483.791950556,11605044.703591391,-20661720.835047744,-678.1086497060991,2480.5876065014354,1031.9394839502143,-0.00015275205465317576
133800.0,31,11977041.278976388,13076348.841553755,-19965665.78618802,-577.266625057651,2420.0254330466823,1286.9366054600034,-0.00015274946337137592
134400.0,31,11660211.050964259,14504489.558657905,-19119239.835020225,-479.84063817180254,2336.7759648809306,1532.8493781389814,-0.00015274703356339792
135000.0,31,11400187.601278897,15876067.258196963,-18128457.03442373,-388.3310853241776,2231.6059169011855,1767.8008129899279,-0.00015274477316189184
135600.0,31,11192697.16761796,17178244.431336183,-17000440.130538084,-305.12455147523906,2105.622271219331,1989.974550938602,-0.00015274268887465915
136200.0,31,11032078.907919282,18398945.7749622,-15743380.101914763,-232.45112414399705,1960.2578386318855,2197.629074362434,-0.0001527407861225964
136800.0,31,10911391.122226823,19527048.009817332,-14366487.124987006,-172.34371317178034,1797.2512484744611,2389.11203933011,-0.0001527390689855423
137400.0,31,10822541.101626787,20552556.10385374,-12879932.91795807,-126.60010603849673,1618.621548968054,2562.8746049279252,-0.00015273754015679295
138000.0,31,10756436.750203572,21466762.74117804,-11294784.496421132,-96.74847574296541,1426.637698191903,2717.4856150666365,-0.0001527362009070397
138600.0,31,10703157.702081032,22262388.072381485,-9622929.468318557,-84.01703143591158,1223.7833265470335,2851.6454682212343,-0.00015273505105845817
139200.0,31,10652143.251988672,22933697.038720414,-7876993.102312109,-89.30845979420042,1012.7172529872629,2964.1994925019753,-0.00015273408896963173
139800.0,31,10592394.04405991,23476591.88046702,-6070247.520739464,-113.17974667736598,796.2303369767162,3054.1506281848688,-0.00015273331153193055
140400.0,31,10512684.129820809,23888677.817091048,-4216513.493978605,-155.82789348183678,577.1993433276263,3120.6712082468953,-0.0001527327141778826
141000.0,31,10401779.722764423,24169300.320271395,-2330055.444535945,-217.08195091382936,358.53858474484593,3163.1136204306863,-0.00015273229090197
141600.0,31,10248660.753495542,24319552.88460889,-425470.40328772453,-296.4016853737771,143.1501838458105,3181.0196327021667,-0.00015273203429415897
142200.0,31,10042741.175455526,24342254.7278316,1482428.2066543067,-392.8830712085776,-66.12614061840975,3174.128168332343,-0.00015273193558632925
142800.0,31,9774083.894890545,24241898.412731417,3378730.955042034,-505.27066788867205,-266.5628127928693,3142.381327722452,-0.00015273198471160883
143400.0,31,9433606.206608936,24024567.965649012,5248555.836551882,-631.9767975693085,-455.5926876408995,3085.9284717669952,-0.00015273217037644476
144000.0,31,9013271.713798799,23697828.65796613,7077173.522827014,-771.1072890311516,-630.8549080307124,3005.128206013457,-0.0001527324801450561
144600.0,31,8506264.897971895,23270590.203401536,8850133.120271187,-920.4934027716743,-790.2373721394013,2900.548135839488,-0.00015273290053572283
145200.0,31,7907144.783502423,22752945.689712472,10553387.053610194,-1077.7294035783077,-931.9148984949833,2772.9622997294014,-0.000152733417128171
145800.0,31,7211974.506897272,22155989.093130767,12173413.654194096,-1240.2151060556907,-1054.3822475676102,2623.3462295896747,-0.00015273401468112396
146400.0,31,6418424.047580582,21491614.702245895,13697336.018174568,-1405.2025901447303,-1156.4812549851767,2452.8696327149983,-0.00015273467725890756
147000.0,31,5525843.895431212,20772302.190730624,15113035.714688482,-1569.84617231419,-1237.4214503197827,2262.886738080807,-0.000152735388365831
147600.0,31,4535308.008750494,20010891.412460275,16409259.968666533,-1731.2546280525246,-1296.7936741080023,2054.9243984946042,-0.0001527361310869161
148200.0,31,3449625.0406467114,19220351.23748658,17575721.01647804,-1886.5445961084206,-1334.5763605563036,1830.6680880832253,-0.00015273688823342542
148800.0,31,2273317.4660674063,18413546.894875675,18603186.433905385,-2032.894057336151,-1351.1343197014269,1591.9459799034062,-0.00015273764249154462
149400.0,31,1012568.9087385526,17603010.3334795,19483559.36250237,-2167.5947726922404,-1347.2100255248947,1340.7113294867252,-0.00015273837657251156
150000.0,31,-324859.370640656,16800718.052387472,20209947.708928842,-2288.102586476769,-1323.9075901969222,1079.0234253743747,-0.00015273907336245515
150600.0,31,-1729741.2240664996,16017880.690531764,20776721.55833224,-2392.084551726739,-1282.6697736962349,809.0273959065034,-0.0001527397160702136
151200.0,31,-3191525.4027164336,15264748.404394425,21179558.222653534,-2477.461913020893,-1225.248537141495,532.9331817556466,-0.0001527402883714414
151800.0,31,-4698499.6338242665,14550435.711724851,21415474.53291718,-2542.4480850685122,-1153.669792330364,252.9939953323049,-0.00015274077454738863
152400.0,31,-6237975.764327027,13882769.048069011,21482846.176011197,-2585.58088964986,-1070.1931249201407,-28.515408977676564,-0.00015274115961684138
153000.0,31,-7796492.349716712,13268159.784391558,21381414.066152282,-2605.748454370263,-977.2673709462258,-309.3203356096658,-0.00015274142945984276
153600.0,31,-9360030.756068643,12711504.902505578,21112277.924392343,-2602.208329421165,-877.4830034756651,-587.1673154826134,-0.00015274157093196955
154200.0,31,-10914240.625645623,12216116.935840948,20677877.411845293,-2574.5995380156182,-773.5223366899402,-859.8445576423356,-0.0001527415719681123
154800.0,31,-12444670.434186457,11783684.172207648,20081961.32006044,-2522.947437297248,-668.1085781920891,-1125.2014295123363,-0.00015274142167489093
155400.0,31,-13936998.840514723,11414261.49845378,19329545.462098908,-2447.661424463195,-563.9547574519338,-1381.1667428419016,-0.00015274111041103084
156000.0,31,-15377262.593317963,11106291.659426203,18426860.02809045,-2349.525673179707,-463.71353056151634,-1625.7656584648703,-0.00015274062985521768
156600.0,31,-16752076.910308316,10856656.119443502,17381287.26785192,-2229.683224284833,-369.92881116297485,-1857.1350611316093,-0.00015273997306113955
157200.0,31,-18048844.473960485,10660754.166080276,16201290.439792173,-2089.613879152428,-284.9901074304555,-2073.5372945508275,-0.00015273913449960708
157800.0,31,-19255949.48647815,10512608.394139383,14896335.019804444,-1931.1064515937487,-211.09035865797296,-2273.372185064812,-0.00015273811008781254
158400.0,31,-20362933.58427284,10404994.260939334,13476803.196803387,-1756.2260232449166,-150.18796588979285,-2455.1873189153703,-0.0001527368972059427
159000.0,31,-21360650.8180119,10329591.019079598,11953902.694230055,-1567.276917244918,-103.97360275828078,-2617.686571850064,-0.0001527354947014984
159600.0,31,-22241399.346868105,10277151.014170755,10339570.950928103,-1366.7621555718354,-73.84227880716662,-2759.736920084879,-0.00015273390288179017
160200.0,31,-22999027.96371555,10237684.085137004,8646375.672361588,-1157.3401972180582,-60.87101139266588,-2880.3735878094394,-0.00015273212349517745
160800.0,31,-23629016.05079759,10200653.624251038,6887412.726537704,-941.7797685095255,-65.802346763493,-2978.803608132848,-0.00015273015970169445
161400.0,31,-24128526.05265513,10155180.742021035,5076202.310716366,-722.9135947735145,-89.03385871552791,-3054.407891459241,-0.0001527280160337644
162000.0,31,-24496428.035553478,10090252.9359564,3226584.257588827,-503.59182598345467,-130.61364644707214,-3106.7419077672944,-0.0001527256983477402
162600.0,31,-24733296.372019287,9994933.67846149,1352613.2856348415,-286.6359198826324,-190.24175359547735,-3135.5350973133322,-0.00015272321376703137
163200.0,31,-24841379.038277626,9858569.413090874,-531545.0697428646,-74.79370640579816,-267.27733915217004,-3140.6891281744897,-0.00015272057061758307
163800.0,31,-24824540.43539471,9670990.574937323,-2411717.1776652974,129.30369104261604,-360.7513488418051,-3122.2751191809616,-0.00015271777835646313
164400.0,31,-24688179.036981694,9422703.424381062,-4273822.088890578,323.1824568472366,-469.3843630392521,-3080.529943606145,-0.00015271484749429683
165000.0,31,-24439121.52368795,9105069.697970554,-6103969.839330199,504.5636462772169,-591.6092344799879,-3015.8517229820936,-0.00015271178951225956
165600.0,31,-24085495.38471257,8710471.329979401,-7888556.814695474,671.3972130305362,-725.5980757154036,-2928.794612094862,-0.00015270861677430428
166200.0,31,-23636582.24739911,8232457.777474752,-9614357.770024324,821.8920692256665,-869.293112080723,-2820.0629660994614,-0.00015270534243526314
166800.0,31,-23102654.4366372,7665873.785091167,-11268614.150851563,954.5418121942419,-1020.4408803305739,-2690.5049692719667,-0.00015270198034542142
167400.0,31,-22494797.465908688,7006965.748021412,-12839118.409028124,1068.145818875444,-1176.6292254089396,-2541.1057926562066,-0.0001526985449521225
168000.0,31,-21824721.32153053,6253465.16831427,-14314294.045159591,1161.8254744924643,-1335.326527361836,-2372.9803352019553,-0.00015269505119892338
168600.0,31,-21104563.52149333,5404648.046145955,-15683271.141059486,1235.0353670440243,-1493.922576476597,-2187.3655903336685,-0.00015269151442278472
